"CourseName","SubjectName","TopicName","ChapterName","KSCText","QuestionId","Q_LATEX","imageHTML","UseAs"
"9/10 CBSE","Maths","Maths -6th","Angles","Condition Linear Pairs of Angles",10143,"In fig, \( \mathrm{OP} \| \mathrm{RS} . \) Determine \( \angle \mathrm{PQR} \).
(A) \( 63^{\circ} \)
(B) \( 70^{\circ} \)
(C) \( 60^{\circ} \)
(D) \( 73^{\circ} \)","","Example"
"9/10 CBSE","Maths","Maths -8th","Area and Volume","Volume of prism And Cylinder",47455,"Find the volume of cylinder.
(A) \( 153.94 \mathrm{~cm}^{3} \)
(B) \( 184.7 \mathrm{~cm}^{3} \)
(C) \( 1539.4 \mathrm{~cm}^{3} \)
(D) \( 1847 \mathrm{~cm}^{3} \)","","Trial"
"9/10 CBSE","Maths","Maths -10th","Areas Related to Circles","Summary : Basic of Area Related to Circle",123554,"Find the area of shaded region in figure, where a circle of radius \( 6 \mathrm{~cm} \) has
been drawn with vertex 0 of an equilateral triangle OAB of side \( 12 \mathrm{~cm} \).
(A) \( 140.65 \)
(B) \( 139.88 \) CBSE [2016]
(C) \( 135.87 \)
(D) \( 137.64 \)","","Example"
"9/10 CBSE","Maths","Maths -10th","Areas Related to Circles","Area of  Sector and  Arc Length",84899,"In fig., OACB is a quadrant of a circle with centre 0 and radius
\( 3.5 \mathrm{~cm} . \) If \( \mathrm{OD}=2 \mathrm{~cm} \), find the area of the shaded region.
(A) \( \frac{90}{8} \mathrm{~cm}^{2} \)
(B) \( \frac{49}{4} \mathrm{~cm}^{2} \)
(C) \( \frac{49}{8} \mathrm{~cm}^{2} \)
(D) \( \frac{47}{8} \mathrm{~cm}^{2} \)","","Example"
"9/10 CBSE","Maths","Maths -10th","Areas Related to Circles","Area Of Circle",84884,"The given figure consists of four small semicircles and two big semicircles.
If the smaller semicircles are equal in radii and the bigger semicircles are
also equal in radii, find the perimeter and the area of the shaded portion
of the figure. Given that radius of each bigger semicircle is \( 42 \mathrm{~cm} \).
(A) \( 5504 \mathrm{~cm}^{2} \)
(B) \( 5500 \mathrm{~cm}^{2} \)
(C) \( 5004 \mathrm{~cm}^{2} \)
(D) \( 5544 \mathrm{~cm}^{2} \)","","Example"
"9/10 CBSE","Maths","Maths -8th","Algebraic Expressions and Identities","Algebraic Identities : Basic Expansion",13039,"If \( 49 x^{2}-b=(7 x+1 / 2)(7 x-1 / 2) \), then the value of \( b \) is
(A) 0
(B) \( \frac{1}{\sqrt{2}} \)
(C) \( \frac{1}{4} \)
(D) \( \frac{1}{2} \)","","Example"
"9/10 CBSE","Maths","Maths -10th","Arithmetic Progressions","Arithmetic Sequence/ progressions (A.P)",52907,"\( \ldots \)","","Trial"
"9/10 CBSE","Maths","Maths -9th","Area of Parallelograms and Triangle","Area of a Rhombus and Area of a Trapezium",72335,"The area of trapezium \( \mathrm{ABCD} \) in the given figure is","","Example"
"9/10 CBSE","Maths","Maths -10th","Areas Related to Circles","Perimeter Of Circle",3770,"The perimeter of a semi-circular protractor is \( 66 \mathrm{~cm} \). Then, diameter of the protractor is \( \quad\left(\right. \) Take \( \left.\pi=\frac{22}{7}\right) \)<br/>(a) \( 39 \mathrm{~cm} \)<br/>(b) \( 42 \mathrm{~cm} \)<br/>(c) \( 54 \mathrm{~cm} \)<br/>(d) \( 32 \mathrm{~cm} \)","","Trial"
"9/10 CBSE","Maths","Maths -10th","Areas Related to Circles","Summary : Combination Of Plane Figure - l",123600,"The length and breadth of a rectangular piece of paper are \( 28 \mathrm{~cm} \) and \( 14 \mathrm{~cm} \)
respectively. A semi-circular portion is cut off from the breadth's side and a
semicircular portion is added on length's side, as shown in figure. Find the
area of shaded region

CBSE [2011]
(A) 623
(B) 639
(C) 612
(D) 611","","Trial"
"9/10 CBSE","Maths","Maths -10th","Areas Related to Circles","Area Of Circle",52105,"On a square cardboard sheet of area \( 1225 \mathrm{~cm}^{2} \), four congruent circular
plates of maximum size are placed such that each circular plate touches
the other two plates and each side of the square sheet is tangent to two
circular plates. Find the area of the square sheet not covered by the
circular plates.
(A) \( 256.8 \)
(B) \( \quad 325.6 \)
(C) \( 262.5 \)
(D) \( 425.7 \)","","Example"
"9/10 CBSE","Maths","Maths -10th","Areas Related to Circles","Area of  Sector and  Arc Length",45810,"A pendulum swings through an angle of \( 30^{\circ} \) and describes an arc \( 8.8 \mathrm{~cm} \) in
length. Find the length of the pendulum.
(A) \( 16 \mathrm{~cm} \)
(B) \( 16.8 \mathrm{~cm} \)
(C) \( 15 \mathrm{~cm} \)
(D) \( 15.8 \mathrm{~cm} \)","","Example"
"9/10 CBSE","Maths","Maths -10th","Areas Related to Circles","Area of  Sector and  Arc Length",3791,"If the side of square is \( 28 \mathrm{~cm} \) and the radius of the sector is \( 1 / 2 \) the length of<br/>side of square, then the area of shaded region is<br/>(a) \( 1452 \mathrm{~cm}^{2} \)<br/>(b) \( 1708 \mathrm{~cm}^{2} \)<br/>(c) \( 2011 \mathrm{~cm}^{2} \)<br/>(d) none of these","","Example"
"9/10 CBSE","Maths","Maths -10th","Areas Related to Circles","Applications of Area of  Combination of Plane Figures",71892,"In the given figure, \( A B C D \) is a square of side \( 7 \mathrm{~cm} \), DPBA and
\( \mathrm{DQBC} \) are quadrants of circles each of the radius \( 7 \mathrm{~cm} . \) find
the area of the shaded region.","","Example"
"9/10 CBSE","Maths","Maths -10th","Areas Related to Circles","Area of  Sector and  Arc Length",84898,"In fig., OACB is a quadrant of a circle with centre 0 and radius
\( 3.5 \mathrm{~cm} \). If \( \mathrm{OD}=2 \mathrm{~cm} \), find the area of the quadrant \( \mathrm{OACB} \)
(A) \( \frac{27}{8} \mathrm{~cm}^{2} \)
(B) \( \frac{77}{8} \mathrm{~cm}^{2} \)
(C) \( \frac{72}{8} \mathrm{~cm}^{2} \)
(D) \( \frac{88}{7} \mathrm{~cm}^{2} \)","","Example"
"9/10 CBSE","Maths","Maths -10th","Areas Related to Circles","Summary : Basic of Area Related to Circle",123576,"In figure, a square \( \mathrm{OABC} \) is inscribed in a quadrant \( \mathrm{OPBQ} \) of a circle. If \( \mathrm{OA}= \)
\( 21 \mathrm{~cm} \), find the area of the shaded region \( \quad \) CBSE [2013]
(A) 240
(B) 281
(C) 252
(D) \( \quad 279 \)","","Example"
"9/10 CBSE","Maths","Maths -10th","Areas Related to Circles","Sector  Of A Circle",46615,"In the given figure, arcs have been drawn of radius \( 21 \mathrm{~cm} \) each with
vertices A, B, \( C \) and D of quadrilateral ABCD as centre. Find the area
(A) \( 1686 \mathrm{~cm}^{2} \)
of shaded region.
(B) \( 1586 \mathrm{~cm}^{2} \)
(C) \( 1486 \mathrm{~cm}^{2} \)
(D) \( 1386 \mathrm{~cm}^{2} \)","","Trial"
"9/10 CBSE","Maths","Complex Numbers And Quadratic Equations","Algebra of Complex Numbers","(1+𝑖)/(1−𝑖)     and    (1-𝑖)/(1+𝑖)  Forms",7172,"If \( \frac{c+i}{c-i}=a+i b \), where \( a, b, c \) are real, then \( a^{2}+b^{2}= \)
(A) 1
(B) \( -1 \)
(C) \( \mathrm{c}^{2} \)
(D) \( -\mathrm{c}^{2} \)","","Trial"
"9/10 CBSE","Maths","Maths -10th","Areas Related to Circles","Perimeter Of Circle",49330,"A car has wheels which are \( 80 \mathrm{~cm} \) in diameter. How many complete
revolutions does each wheel make in 10 minutes when the car is travelling at a
speed of \( 66 \mathrm{~km} \) per hour?","","Trial"
"9/10 CBSE","Maths","Maths -9th","Area of Parallelograms and Triangle","Δs on Same Base & between Same Parallels have Equal Area",55438,"In the adjoining figure, \( C E \) I \( A D \) and \( C F \| B A \). Then \( \operatorname{ar}(\Delta C B G)= \)
(A) \( \operatorname{ar}(\Delta \mathrm{CFE}) \)
(B) \( 2 \operatorname{ar}(\Delta \mathrm{CFE}) \)
(C) \( \operatorname{ar}(\Delta \mathrm{AFG}) \)
(D) \( \quad 2 \operatorname{ar}(\Delta \mathrm{AFG}) \)","","Example"
"9/10 CBSE","Maths","Maths -6th","Angles","Reflex , Complementary and Supplementary Angles",6372,"In the parallellogram \( \mathrm{ABCD} \), find the measurement of \( \angle \mathrm{BAC} \) and \( \angle \mathrm{DAC} \), when \( \angle \mathrm{BCA} \) is \( 42^{\circ} \) and \( \angle \mathrm{DCA} \) is \( 38^{\circ} . \)
a. \( 42^{\circ}, 38^{\circ} \)
b. \( 38^{\circ}, 42^{\circ} \)
c. \( 45^{\circ}, 45^{\circ} \)
d. \( 48^{\circ}, 52^{\circ} \)","","Trial"
"9/10 CBSE","Maths","Maths -8th","Algebraic Expressions and Identities","Quadratic Identities ( x  and 1/x  Form )",10240,"Simplify:
\( \frac{4 x-2}{x^{2}-x-2}+\frac{3}{2 x^{2}-7 x+6}-\frac{8 x+3}{2 x^{2}-x-3} \)
(A) \( \frac{11}{(x-1)(x+1)(2 x-3)} \)
(B) \( \frac{11}{(x-2)(x+1)(2 x+3)} \)
(C) \( \frac{15}{(x+2)(x-1)(2 x-3)} \)
(D) \( \frac{15}{(x-2)(x+1)(2 x-3)} \)","","Trial"
"9/10 CBSE","Maths","Maths -10th","Areas Related to Circles","Points Regarding  Minor  And Major  Sector",46691,"Find the difference of the areas of two segments of a circle formed by a chord
of length \( 5 \mathrm{~cm} \) subtending angle of \( 90^{\circ} \) at the centre.
(A) \( \left[\frac{25}{8} \pi+\frac{25}{2}\right] \mathrm{cm}^{2} \)
(B) \( \left[\frac{25}{4} \pi+\frac{25}{2}\right] \mathrm{cm}^{2} \)
(C) \( \left[\frac{25}{4} \pi+\frac{25}{8}\right] \mathrm{cm}^{2} \)
(D) \( \left[\frac{25}{4} \pi+\frac{25}{4}\right] \mathrm{cm}^{2} \)","","Example"
"9/10 CBSE","Maths","Maths -6th","Angles","Straight Angles and Adjacent Angles",10136,"In figure \( \mathrm{AB} \| \) CD. Determine \( \mathrm{X} \).
(A) \( 193^{\circ} \)
(B) \( 197^{\circ} \)
(C) \( 285^{\circ} \)
(D) \( 246^{\circ} \)","","Example"
"9/10 CBSE","Maths","Maths -8th"," Area Perimeter of 2D shapes ","Area Of Polygon",10174,"Find the area of a cyclic quadrilateral \( \mathrm{ABCD} \) in which \( \mathrm{AB}=10 \mathrm{~cm} \),
\( B C=8 \mathrm{~cm}, C D=5 \mathrm{~cm} \& \mathrm{DA}=7 \mathrm{~cm} \)
(A) \( 52.91 \mathrm{~cm}^{2} \)
(B) \( 55.61 \mathrm{~cm}^{2} \)
(C) \( 62.56 \mathrm{~cm}^{2} \)
(D) \( 69.13 \mathrm{~cm}^{2} \)","","Example"
"9/10 CBSE","Maths","Maths -9th","Area of Parallelograms and Triangle","Area of a Rhombus and Area of a Trapezium",67665,"Find the area of a rhombus (in \( \mathrm{cm}^{2} \) ) of perimeter
\( 60 \mathrm{~cm} \) and one of its diagonals is \( 24 \mathrm{~cm} \).","","Example"
"9/10 CBSE","Maths","Maths -10th","Arithmetic Progressions","Arithmetic Sequence/ progressions (A.P)",10311,"Write the third term of an A.P. whose first term is 11 and the common difference is \( 1.5 \)
(A) 35
(B) 64
(C) 14
(D) 52","","Trial"
"9/10 CBSE","Maths","Maths -10th","Areas Related to Circles","Applications of Area of  Combination of Plane Figures",49341,"Find the area (in \( \mathrm{cm}^{2} \) ) of the shaded region.
[Use \( \pi=3.14] \)","","Example"
