,Unnamed: 0,Unnamed: 0.1,index,CourseName,SubjectName,TopicName,ChapterName,KSCText,QuestionId,imageHTML,UseAs,Q_Latex
3,3,3.0,9.0,7/8 CBSE,Biology,Biology in Human Welfare,Human Health and Disease,Kwashiorkor,35703,,Trial,"Kwashiorkor disease is due to deficiency of :
(A) Protein
(B) Fat
(C) Sugar
(D) Hormone"
6,6,6.0,12.0,7/8 CBSE,Biology,Diversity in Living Organism,Biological Classification,Whittaker's system of classification,20023,,Trial,"In Whittaker's five kingdom classification unicellular eukaryotes primarily aquatic \&
having various cell organelles constitute-
(A) Monera
(B) Protista
(C) Animalia
(D) Plantae"
9,9,9.0,18.0,7/8 CBSE,Biology,Ecology,Biodiversity and Conservation,In situ (on site) Conservation,55588,,Trial,"Which of the following is a bird sanctuary?
(A) Ranthambore
(B) Periyar
(C) Keoladeo
(D) All of them"
13,13,13.0,25.0,7/8 CBSE,Biology,Biology in Human Welfare,Microbes in Human Welfare,Bacteria: Role in Agriculture and Industry,78612,,Trial,"Which of the following bacteria is are present in the root nodules of leguminous
plants known to fix atmospheric nitrogen into the soil?
(A) Azotobacter
(B) Clostridium
(C) Rhizobium
(D) Both (A) and (B)"
28,28,28.0,71.0,7/8 CBSE,Biology,Biology in Human Welfare,Microbes in Human Welfare,Bacteria: Role in Agriculture and Industry,185929,,Trial,"An example of endomycorrhiza is \( \quad \) [NEET-2010]
(A) Nostoc
(B) Glomus
(C) Agaricus
(D) Rhizobium."
30,30,30.0,73.0,7/8 CBSE,Biology,Human Physiology,Breathing and Exchange of Gases,Pulmonary Capacities,63447,,Trial,"Choose the wrong statement-
(A) Respiratory pigments are colored pigments
Respiratory pigments are the colored proteins
(B) which contain a metallic ion
\( (\mathrm{C}) \)
Respiratory pigments have special affinity for
respiratory gases
(D) None of the above"
33,33,33.0,76.0,7/8 CBSE,Biology,Biology in Human Welfare,Microbes in Human Welfare,Bacteria: Role in Agriculture and Industry,78582,,Trial,"Role of de-nitrifying bacteria is to:
(A) Break down soil nitrites
(B) Break down soil nitrates
(C) Break down soil nitrogen
(D) Break down soil ammonia"
40,40,40.0,94.0,7/8 CBSE,Biology,Plant Physiology,Mineral Nutrition,Endosmosis,38311,,Trial,"When the cell is placed in water, it takes water this is due to?
(A) Osmotic pressure
(B) Suction pressure
(C) Diffusion
(D) Water potential and TP"
48,48,48.0,116.0,7/8 CBSE,Biology,Plant Physiology,Mineral Nutrition,NITROGENASE ENZYME,38088,,Trial,"The enzyme, nitrogenase which is capable of nitrogen reduction, is present :-
(A) Only in some eukaryotes
(B) Exclusively in prokaryotes
(C) Exclusively in eukaryotes
(D) In all the living organisms"
49,49,49.0,117.0,7/8 CBSE,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Chromosomal Disorder,113350,,Trial,"Which disease has XXY chromosome constitution?
(A) Down's syndrome
(B) Turner's syndrome
(C) Klinefelter's syndrome
(D) None"
